"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"20169459","연강떡방앗간","","Q","음식","Q08","제과제빵떡케익","Q08A03","떡전문","I56191","제과점업","46","전라남도","46770","고흥군","4677042000","두원면","4677042026","두원면","4677042026103150002","1","대지",315,2,"전라남도 고흥군 두원면 대전리 315-2","467703289013","전라남도 고흥군 두원면 두원로",1173,,"4677042026103140003043752","","전라남도 고흥군 두원면 두원로 1173","548872","59513","","","",127.268305476073,34.7012139914445
"20546070","미송가든","","Q","음식","Q01","한식","Q01A01","한식/백반/한정식","I56111","한식 음식점업","46","전라남도","46820","해남군","4682041000","산이면","4682041021","산이면","4682041021102010002","1","대지",201,2,"전라남도 해남군 산이면 노송리 201-2","468203294010","전라남도 해남군 산이면 산이로",529,,"4682041021102010002207256","미송가든","전라남도 해남군 산이면 산이로 529","536852","59012","","1","",126.510038510006,34.6187817171219
